CustomerID,Name,Age,Gender,Region,PurchaseAmount,Frequency,ProductCategory,JoinDate
1,Alice Johnson,28,Female,North,250.50,5,Electronics,2021-03-15
2,Bob Smith,35,male,south,180.00,3,Clothing,2020-07-22
3,Carol White,,Female,East,320.75,7,Electronics,2021-11-01
4,David Brown,45,M,West,95.00,1,Groceries,2019-05-30
5,Eve Davis,22,female,north,410.25,9,Beauty,2022-01-10
6,Frank Miller,31,Male,SOUTH,230.00,4,Clothing,2021-08-19
7,Grace Wilson,29,F,east,175.50,3,Groceries,2020-12-05
8,Henry Moore,52,male,West,850.00,12,Electronics,2018-04-14
9,Iris Taylor,41,Female,North,140.00,2,Beauty,2021-06-23
10,Jack Anderson,26,male,south,300.00,6,Clothing,2022-03-08
11,Karen Thomas,38,,East,220.50,4,Electronics,2020-09-17
12,Leo Jackson,33,Male,west,190.75,3,Groceries,2021-02-28
13,Mia White,24,female,North,450.00,10,Beauty,2022-05-12
14,Nate Harris,47,Male,South,110.25,2,Groceries,2019-11-20
15,Olivia Martin,30,Female,EAST,275.00,5,Electronics,2021-07-04
16,Peter Garcia,55,male,west,920.50,14,Electronics,2017-08-30
17,Quinn Martinez,21,Female,north,380.00,8,Beauty,2022-06-15
18,Ryan Robinson,43,M,South,160.00,3,Clothing,2020-04-11
19,Sara Clark,27,female,East,195.50,4,Groceries,2021-10-29
20,Tom Rodriguez,36,Male,WEST,240.00,5,Clothing,2020-08-07
21,Uma Lewis,32,Female,north,310.75,6,Electronics,2021-04-18
22,Victor Lee,28,male,south,145.00,2,Groceries,2022-02-03
23,Wendy Walker,50,F,East,680.00,11,Electronics,2018-09-25
24,Xander Hall,23,Male,west,425.50,9,Beauty,2022-04-30
25,Yara Allen,39,female,North,205.00,4,Clothing,2020-06-16
26,Zoe Young,25,Female,SOUTH,350.00,7,Electronics,2021-12-22
27,Aaron Hernandez,44,male,east,130.75,2,Groceries,2019-07-08
28,Bella King,31,Female,West,280.00,5,Beauty,2021-05-14
29,Carlos Wright,37,M,north,165.00,3,Clothing,2020-11-03
30,Diana Scott,29,female,South,390.25,8,Electronics,2022-01-27
31,Ethan Green,48,Male,EAST,750.00,13,Electronics,2018-03-19
32,Fiona Adams,26,Female,west,215.50,4,Beauty,2021-09-06
33,George Baker,53,male,North,105.00,1,Groceries,2019-02-14
34,Hannah Gonzalez,34,F,south,260.75,5,Clothing,2020-10-31
35,Ian Nelson,41,Male,East,185.00,3,Groceries,2021-01-20
36,Julia Carter,22,female,WEST,440.00,10,Beauty,2022-07-09
37,Kevin Mitchell,46,male,north,315.25,6,Electronics,2020-05-25
38,Laura Perez,33,Female,South,170.50,3,Clothing,2021-03-12
39,Mike Roberts,27,M,east,290.00,6,Electronics,2021-11-18
40,Nancy Turner,55,female,West,880.75,15,Electronics,2017-06-02
41,Oscar Phillips,30,Male,NORTH,200.00,4,Clothing,2021-08-27
42,Pam Campbell,38,F,south,135.25,2,Groceries,2020-03-16
43,Quincy Parker,24,male,East,460.50,10,Beauty,2022-05-03
44,Rachel Evans,43,Female,west,155.00,3,Clothing,2020-07-10
45,Steve Edwards,35,male,North,330.75,7,Electronics,2021-04-06
46,Tina Collins,28,female,SOUTH,245.00,5,Beauty,2021-10-14
47,Ursula Stewart,32,Female,east,180.25,3,Groceries,2021-06-09
48,Vaughn Sanchez,50,M,West,710.00,12,Electronics,2018-12-01
49,Wendy Morris,26,female,north,395.50,8,Beauty,2022-03-25
50,Xavier Rogers,41,Male,South,125.75,2,Groceries,2019-08-17
51,Yvonne Reed,29,F,EAST,265.00,5,Clothing,2021-07-30
52,Zachary Cook,36,male,west,220.25,4,Electronics,2020-09-05
53,Amy Bell,23,female,North,480.75,11,Beauty,2022-06-20
54,Brian Murphy,47,Male,south,145.50,2,Groceries,2019-04-12
55,Cindy Bailey,31,Female,East,285.00,6,Electronics,2021-02-08
56,Derek Rivera,54,male,WEST,940.25,16,Electronics,2017-10-28
57,Elaine Cooper,27,F,north,360.50,7,Clothing,2021-12-15
58,Floyd Richardson,40,Male,South,190.75,4,Groceries,2020-06-03
59,Gina Cox,25,female,east,415.00,9,Beauty,2022-04-18
60,Harold Howard,44,male,West,160.25,3,Clothing,2020-10-22
61,Isabel Ward,33,Female,NORTH,300.50,6,Electronics,2021-05-07
62,Jason Torres,28,M,south,175.75,3,Groceries,2022-01-14
63,Katherine Peterson,38,female,East,240.00,5,Clothing,2020-08-29
64,Liam Gray,52,Male,west,790.50,13,Electronics,2018-02-11
65,Monica Ramirez,24,F,North,430.25,9,Beauty,2022-05-28
66,Nathan James,46,male,SOUTH,150.00,2,Groceries,2019-09-24
67,Ophelia Watson,30,Female,east,270.75,5,Electronics,2021-07-17
68,Paul Brooks,37,male,West,205.50,4,Clothing,2020-11-30
69,Queenie Kelly,22,female,north,500.00,11,Beauty,2022-07-05
70,Robert Sanders,48,Male,South,135.25,2,Groceries,2019-06-13
71,Samantha Price,29,F,EAST,295.75,6,Electronics,2021-08-02
72,Thomas Bennett,35,male,west,225.00,4,Clothing,2020-05-19
73,Ursula Wood,27,female,North,345.50,7,Beauty,2021-11-25
74,Victor Barnes,43,Male,south,170.25,3,Groceries,2020-02-07
75,Wanda Ross,31,Female,East,310.00,6,Electronics,2021-03-24
76,Xavier Henderson,55,male,WEST,860.75,14,Electronics,2017-12-10
77,Yolanda Coleman,26,F,north,385.25,8,Beauty,2022-04-07
78,Zachary Jenkins,40,Male,South,155.50,3,Clothing,2020-07-25
79,Alice Perry,34,female,east,280.75,5,Electronics,2021-09-12
80,Benjamin Powell,49,male,West,720.00,12,Electronics,2018-07-17
81,Chloe Long,23,Female,NORTH,455.25,10,Beauty,2022-06-08
82,Daniel Patterson,36,M,south,195.00,4,Groceries,2020-04-23
83,Emma Hughes,28,female,East,265.50,5,Clothing,2021-10-06
84,Fred Flores,44,Male,west,180.75,3,Groceries,2020-12-18
85,Gloria Washington,32,F,North,330.00,7,Electronics,2021-04-30
86,Harry Butler,51,male,SOUTH,810.25,13,Electronics,2018-05-06
87,Iris Simmons,25,female,east,400.50,8,Beauty,2022-03-14
88,Jake Foster,39,Male,West,215.75,4,Clothing,2020-09-21
89,Kara Gonzales,27,female,north,360.00,7,Electronics,2021-12-03
90,Lance Bryant,46,male,South,140.25,2,Groceries,2019-10-09
91,Mandy Alexander,30,Female,EAST,285.50,6,Beauty,2021-06-16
92,Ned Russell,37,M,west,200.75,4,Clothing,2020-03-28
93,Olga Griffin,24,female,North,470.25,10,Beauty,2022-05-15
94,Phil Diaz,43,Male,south,165.50,3,Groceries,2020-01-12
95,Rebecca Hayes,29,F,East,310.75,6,Electronics,2021-08-19
96,Scott Myers,52,male,WEST,880.00,15,Electronics,2017-09-05
97,Tara Ford,26,female,north,375.25,8,Beauty,2022-02-21
98,Ulysses Hamilton,41,Male,South,150.75,3,Clothing,2020-08-14
99,Violet Graham,33,Female,east,255.00,5,Electronics,2021-05-23
100,Walter Sullivan,48,male,West,700.25,11,Electronics,2018-10-29
101,Xena Wallace,22,female,NORTH,445.50,10,Beauty,2022-07-12
102,Yale West,35,M,south,185.75,3,Groceries,2020-06-08
103,Zara Cole,28,Female,East,295.00,6,Clothing,2021-10-17
104,,31,male,west,210.50,4,Electronics,2021-02-14
105,Angela Foster,38,female,North,170.25,3,Groceries,2020-11-26
106,Brandon Simmons,26,Male,SOUTH,340.75,7,Electronics,2021-12-31
107,Candace Alexander,44,F,east,155.50,2,Groceries,2019-05-07
108,Dennis Roberts,50,male,West,760.00,12,Electronics,2018-08-23
109,Eleanor Turner,25,female,north,420.25,9,Beauty,2022-04-12
110,Floyd Parker,40,Male,South,175.75,3,Clothing,2020-07-19
111,Geraldine Evans,32,F,EAST,270.50,5,Electronics,2021-07-06
112,Harold Edwards,47,male,west,145.25,2,Groceries,2019-03-18
113,Ingrid Collins,29,female,North,305.75,6,Clothing,2021-09-24
114,Julian Morris,36,Male,south,230.00,4,Electronics,2020-10-13
115,Kendra Rogers,23,female,East,490.50,11,Beauty,2022-06-27
116,Lawrence Reed,53,male,WEST,900.25,15,Electronics,2017-07-15
117,Monica Bell,27,F,north,365.75,7,Beauty,2021-11-09
118,Norman Murphy,42,Male,South,160.50,3,Groceries,2020-05-04
119,Octavia Bailey,30,female,east,310.00,6,Electronics,2021-06-21
120,Percy Rivera,45,male,West,195.25,4,Clothing,2020-12-10
121,Quentin Cooper,28,Male,NORTH,285.75,5,Electronics,2021-03-03
122,Roselyn Howard,34,female,south,240.00,5,Beauty,2021-08-12
123,Sergio Cox,49,male,East,730.50,12,Electronics,2018-11-07
124,Tanya Ward,24,Female,west,440.75,9,Beauty,2022-05-22
125,Ulric Torres,38,male,North,180.00,3,Groceries,2020-09-15
126,Vera Peterson,31,female,SOUTH,320.25,6,Clothing,2021-04-28
127,Warren Gray,55,Male,east,870.00,14,Electronics,2017-11-03
128,Xandra Ramirez,22,female,West,415.50,9,Beauty,2022-03-19
129,Yuri James,43,male,north,150.25,3,Clothing,2020-06-27
130,Zena Watson,26,Female,South,290.75,6,Electronics,2021-10-23
131,Alex Brooks,37,M,EAST,205.00,4,Groceries,2020-04-08
132,Brenda Kelly,29,female,west,360.25,7,Beauty,2021-12-17
133,Charles Sanders,46,male,North,135.50,2,Groceries,2019-08-04
134,Delilah Price,32,Female,south,275.75,5,Clothing,2021-05-15
135,Evan Bennett,25,male,East,480.00,10,Beauty,2022-06-01
136,Felicia Wood,41,female,WEST,165.25,3,Groceries,2020-11-12
137,Gregory Barnes,33,Male,north,295.50,6,Electronics,2021-07-24
138,Holly Ross,28,F,South,230.75,4,Clothing,2021-02-19
139,Isaac Henderson,50,male,east,780.25,13,Electronics,2018-06-14
140,Jade Coleman,24,female,West,435.00,9,Beauty,2022-04-25
141,Kenneth Jenkins,39,Male,NORTH,190.50,4,Clothing,2020-08-01
142,Lila Perry,27,female,south,310.75,6,Electronics,2021-09-10
143,Marcus Powell,44,male,East,170.00,3,Groceries,2020-02-22
144,Nina Long,31,Female,west,345.25,7,Beauty,2021-11-04
145,Oscar Patterson,36,male,North,215.50,4,Clothing,2020-10-17
146,Portia Hughes,23,female,SOUTH,500.75,11,Beauty,2022-07-14
147,Quentin Flores,48,Male,east,720.50,12,Electronics,2018-09-19
148,Ruby Washington,26,F,West,385.00,8,Beauty,2022-02-26
149,Sylvester Butler,40,male,north,160.75,3,Clothing,2020-07-14
150,Tammy Simmons,34,female,South,280.00,5,Electronics,2021-08-06
151,Ulysses Foster,29,Male,EAST,225.25,4,Clothing,2021-03-17
152,Valencia Gonzales,38,female,west,340.50,7,Electronics,2021-10-01
153,Winston Bryant,52,male,North,820.75,13,Electronics,2018-04-07
154,Xenia Alexander,25,Female,south,410.25,9,Beauty,2022-05-09
155,York Russell,43,male,East,175.50,3,Groceries,2020-09-28
156,Zelda Griffin,30,female,WEST,300.75,6,Clothing,2021-06-14
157,Adam Diaz,47,Male,north,145.00,2,Groceries,2019-11-17
158,Bertha Hayes,22,female,South,460.50,10,Beauty,2022-03-31
159,Cecil Myers,37,male,east,200.25,4,Electronics,2020-12-24
160,Diana Ford,28,Female,West,370.75,7,Beauty,2021-11-29
161,Edward Hamilton,55,male,NORTH,950.00,16,Electronics,2017-05-20
162,Frances Graham,32,F,south,255.50,5,Clothing,2021-04-11
163,Gerald Sullivan,46,male,East,165.75,3,Groceries,2020-03-03
164,Harriet Wallace,24,female,west,445.00,10,Beauty,2022-06-16
165,Ivan West,41,Male,North,185.25,3,Groceries,2020-08-19
166,Jacqueline Cole,29,female,SOUTH,315.50,6,Electronics,2021-07-12
167,Kirk Foster,36,male,east,235.75,4,Clothing,2020-10-25
168,Laura Simmons,27,F,West,390.25,8,Beauty,2022-01-20
169,Martin Alexander,44,Male,north,155.00,3,Groceries,2020-05-08
170,Nina Roberts,31,female,South,275.25,5,Electronics,2021-09-17
171,Oliver Turner,50,male,EAST,750.75,12,Electronics,2018-07-02
172,Patricia Parker,25,female,west,420.50,9,Beauty,2022-04-06
173,Quincy Evans,39,Male,North,200.75,4,Clothing,2020-11-20
174,Rhonda Edwards,28,F,south,340.00,7,Electronics,2021-12-10
175,Stanley Collins,47,male,East,160.25,3,Groceries,2019-09-26
176,Teresa Morris,33,female,WEST,295.50,6,Clothing,2021-05-29
177,Ulrich Rogers,23,Male,north,475.75,10,Beauty,2022-07-03
178,Vera Reed,42,female,South,175.00,3,Groceries,2020-07-07
179,Walter Bell,30,male,east,330.25,6,Electronics,2021-08-23
180,Xenia Murphy,26,Female,West,405.50,8,Beauty,2022-02-11
181,Yale Bailey,37,male,NORTH,190.00,4,Clothing,2020-09-02
182,Zora Rivera,28,female,south,260.75,5,Electronics,2021-10-14
183,Albert Cooper,53,Male,East,830.25,13,Electronics,2018-03-26
184,Beatrice Howard,24,F,west,450.75,10,Beauty,2022-05-17
185,Cecil Cox,40,male,North,170.50,3,Groceries,2020-06-30
186,Dolores Ward,31,female,SOUTH,305.00,6,Clothing,2021-07-19
187,Edgar Torres,48,Male,east,710.50,11,Electronics,2018-10-03
188,Florence Peterson,25,F,West,380.75,8,Beauty,2022-03-08
189,George Gray,43,male,north,155.25,3,Clothing,2020-04-15
190,Helena Ramirez,29,female,South,290.00,6,Electronics,2021-08-31
191,Ignacio James,36,Male,EAST,220.50,4,Groceries,2020-11-07
192,Jane Watson,27,female,west,360.75,7,Beauty,2021-12-22
193,Kyle Brooks,50,male,North,770.25,12,Electronics,2018-08-08
194,Lydia Kelly,23,Female,south,440.00,9,Beauty,2022-06-24
195,Michael Sanders,44,male,East,165.50,3,Groceries,2020-02-18
196,Nancy Price,32,female,WEST,300.25,6,Clothing,2021-05-03
197,Owen Bennett,28,Male,north,275.75,5,Electronics,2021-09-27
198,Paula Wood,38,F,South,240.50,5,Clothing,2020-08-11
199,Quincy Barnes,46,male,east,150.00,2,Groceries,2019-07-23
200,Rachel Ross,,female,West,320.50,6,Electronics,2021-10-31
201,Samuel Henderson,25,male,NORTH,490.75,11,Beauty,2022-07-17
202,Tara Coleman,41,Female,south,175.25,3,Groceries,2020-09-09
203,Ulrich Jenkins,29,male,East,310.00,6,Clothing,2021-06-04
204,Vanessa Perry,34,female,west,365.50,7,Electronics,2021-11-18
205,William Powell,52,Male,North,800.75,13,Electronics,2018-05-13
206,Xiomara Long,24,F,SOUTH,435.25,9,Beauty,2022-04-29
207,Yancey Patterson,39,male,east,195.75,4,Clothing,2020-07-22
208,Zelda Hughes,27,female,West,355.00,7,Beauty,2021-12-06
209,Aaron Flores,44,Male,north,160.75,3,Groceries,2020-05-27
210,Barbara Washington,31,female,South,285.25,5,Electronics,2021-08-14
211,Carter Butler,48,male,EAST,740.50,12,Electronics,2018-09-30
212,Daphne Simmons,23,Female,west,425.75,9,Beauty,2022-06-11
213,Elliot Foster,37,male,North,205.25,4,Clothing,2020-10-24
