CustomerID,Name,Age,Gender,Region,PurchaseAmount,Frequency,ProductCategory,JoinDate
1,Alice Johnson,28.0,Female,North,250.5,5,Electronics,2021-03-15
2,Bob Smith,35.0,Male,South,180.0,3,Clothing,2020-07-22
3,Carol White,33.0,Female,East,320.75,7,Electronics,2021-11-01
4,David Brown,45.0,Male,West,95.0,1,Groceries,2019-05-30
5,Eve Davis,22.0,Female,North,410.25,9,Beauty,2022-01-10
6,Frank Miller,31.0,Male,South,230.0,4,Clothing,2021-08-19
7,Grace Wilson,29.0,Female,East,175.5,3,Groceries,2020-12-05
8,Henry Moore,52.0,Male,West,850.0,12,Electronics,2018-04-14
9,Iris Taylor,41.0,Female,North,140.0,2,Beauty,2021-06-23
10,Jack Anderson,26.0,Male,South,300.0,6,Clothing,2022-03-08
11,Karen Thomas,38.0,Unknown,East,220.5,4,Electronics,2020-09-17
12,Leo Jackson,33.0,Male,West,190.75,3,Groceries,2021-02-28
13,Mia White,24.0,Female,North,450.0,10,Beauty,2022-05-12
14,Nate Harris,47.0,Male,South,110.25,2,Groceries,2019-11-20
15,Olivia Martin,30.0,Female,East,275.0,5,Electronics,2021-07-04
16,Peter Garcia,55.0,Male,West,920.5,14,Electronics,2017-08-30
17,Quinn Martinez,21.0,Female,North,380.0,8,Beauty,2022-06-15
18,Ryan Robinson,43.0,Male,South,160.0,3,Clothing,2020-04-11
19,Sara Clark,27.0,Female,East,195.5,4,Groceries,2021-10-29
20,Tom Rodriguez,36.0,Male,West,240.0,5,Clothing,2020-08-07
21,Uma Lewis,32.0,Female,North,310.75,6,Electronics,2021-04-18
22,Victor Lee,28.0,Male,South,145.0,2,Groceries,2022-02-03
23,Wendy Walker,50.0,Female,East,680.0,11,Electronics,2018-09-25
24,Xander Hall,23.0,Male,West,425.5,9,Beauty,2022-04-30
25,Yara Allen,39.0,Female,North,205.0,4,Clothing,2020-06-16
26,Zoe Young,25.0,Female,South,350.0,7,Electronics,2021-12-22
27,Aaron Hernandez,44.0,Male,East,130.75,2,Groceries,2019-07-08
28,Bella King,31.0,Female,West,280.0,5,Beauty,2021-05-14
29,Carlos Wright,37.0,Male,North,165.0,3,Clothing,2020-11-03
30,Diana Scott,29.0,Female,South,390.25,8,Electronics,2022-01-27
31,Ethan Green,48.0,Male,East,750.0,13,Electronics,2018-03-19
32,Fiona Adams,26.0,Female,West,215.5,4,Beauty,2021-09-06
33,George Baker,53.0,Male,North,105.0,1,Groceries,2019-02-14
34,Hannah Gonzalez,34.0,Female,South,260.75,5,Clothing,2020-10-31
35,Ian Nelson,41.0,Male,East,185.0,3,Groceries,2021-01-20
36,Julia Carter,22.0,Female,West,440.0,10,Beauty,2022-07-09
37,Kevin Mitchell,46.0,Male,North,315.25,6,Electronics,2020-05-25
38,Laura Perez,33.0,Female,South,170.5,3,Clothing,2021-03-12
39,Mike Roberts,27.0,Male,East,290.0,6,Electronics,2021-11-18
40,Nancy Turner,55.0,Female,West,880.75,15,Electronics,2017-06-02
41,Oscar Phillips,30.0,Male,North,200.0,4,Clothing,2021-08-27
42,Pam Campbell,38.0,Female,South,135.25,2,Groceries,2020-03-16
43,Quincy Parker,24.0,Male,East,460.5,10,Beauty,2022-05-03
44,Rachel Evans,43.0,Female,West,155.0,3,Clothing,2020-07-10
45,Steve Edwards,35.0,Male,North,330.75,7,Electronics,2021-04-06
46,Tina Collins,28.0,Female,South,245.0,5,Beauty,2021-10-14
47,Ursula Stewart,32.0,Female,East,180.25,3,Groceries,2021-06-09
48,Vaughn Sanchez,50.0,Male,West,710.0,12,Electronics,2018-12-01
49,Wendy Morris,26.0,Female,North,395.5,8,Beauty,2022-03-25
50,Xavier Rogers,41.0,Male,South,125.75,2,Groceries,2019-08-17
51,Yvonne Reed,29.0,Female,East,265.0,5,Clothing,2021-07-30
52,Zachary Cook,36.0,Male,West,220.25,4,Electronics,2020-09-05
