CustomerID,Name,Age,AgeGroup,Region,ProductCategory,PurchaseAmount,Frequency,CustomerValueScore,Cluster,ClusterLabel
1,Alice Johnson,28.0,25-34,North,Electronics,250.5,5,28.321052631578947,0,Loyal Customers
2,Bob Smith,35.0,25-34,South,Clothing,180.0,3,18.86842105263158,0,Loyal Customers
3,Carol White,33.0,25-34,East,Electronics,320.75,7,37.757894736842104,0,Loyal Customers
4,David Brown,45.0,35-44,West,Groceries,95.0,1,8.5,0,Loyal Customers
5,Eve Davis,22.0,<25,North,Beauty,410.25,9,48.41052631578947,0,Loyal Customers
6,Frank Miller,31.0,25-34,South,Clothing,230.0,4,24.526315789473685,0,Loyal Customers
7,Grace Wilson,29.0,25-34,East,Groceries,175.5,3,18.584210526315793,0,Loyal Customers
8,Henry Moore,52.0,45-54,West,Electronics,850.0,12,83.6842105263158,1,Champions
9,Iris Taylor,41.0,35-44,North,Beauty,140.0,2,13.842105263157894,0,Loyal Customers
10,Jack Anderson,26.0,25-34,South,Clothing,300.0,6,33.94736842105263,0,Loyal Customers
11,Karen Thomas,38.0,35-44,East,Electronics,220.5,4,23.926315789473684,0,Loyal Customers
12,Leo Jackson,33.0,25-34,West,Groceries,190.75,3,19.54736842105263,0,Loyal Customers
13,Mia White,24.0,<25,North,Beauty,450.0,10,53.421052631578945,0,Loyal Customers
14,Nate Harris,47.0,45-54,South,Groceries,110.25,2,11.963157894736842,0,Loyal Customers
15,Olivia Martin,30.0,25-34,East,Electronics,275.0,5,29.86842105263158,0,Loyal Customers
16,Peter Garcia,55.0,45-54,West,Electronics,920.5,14,93.13684210526316,1,Champions
17,Quinn Martinez,21.0,<25,North,Beauty,380.0,8,44.0,0,Loyal Customers
18,Ryan Robinson,43.0,35-44,South,Clothing,160.0,3,17.605263157894736,0,Loyal Customers
19,Sara Clark,27.0,25-34,East,Groceries,195.5,4,22.347368421052632,0,Loyal Customers
20,Tom Rodriguez,36.0,35-44,West,Clothing,240.0,5,27.657894736842103,0,Loyal Customers
21,Uma Lewis,32.0,25-34,North,Electronics,310.75,6,34.62631578947368,0,Loyal Customers
22,Victor Lee,28.0,25-34,South,Groceries,145.0,2,14.157894736842106,0,Loyal Customers
23,Wendy Walker,50.0,45-54,East,Electronics,680.0,11,70.44736842105263,1,Champions
24,Xander Hall,23.0,<25,West,Beauty,425.5,9,49.373684210526314,0,Loyal Customers
25,Yara Allen,39.0,35-44,North,Clothing,205.0,4,22.947368421052634,0,Loyal Customers
26,Zoe Young,25.0,<25,South,Electronics,350.0,7,39.60526315789474,0,Loyal Customers
27,Aaron Hernandez,44.0,35-44,East,Groceries,130.75,2,13.257894736842104,0,Loyal Customers
28,Bella King,31.0,25-34,West,Beauty,280.0,5,30.18421052631579,0,Loyal Customers
29,Carlos Wright,37.0,35-44,North,Clothing,165.0,3,17.92105263157895,0,Loyal Customers
30,Diana Scott,29.0,25-34,South,Electronics,390.25,8,44.64736842105263,0,Loyal Customers
31,Ethan Green,48.0,45-54,East,Electronics,750.0,13,79.86842105263158,1,Champions
32,Fiona Adams,26.0,25-34,West,Beauty,215.5,4,23.610526315789475,0,Loyal Customers
33,George Baker,53.0,45-54,North,Groceries,105.0,1,9.131578947368421,0,Loyal Customers
34,Hannah Gonzalez,34.0,25-34,South,Clothing,260.75,5,28.968421052631577,0,Loyal Customers
35,Ian Nelson,41.0,35-44,East,Groceries,185.0,3,19.18421052631579,0,Loyal Customers
36,Julia Carter,22.0,<25,West,Beauty,440.0,10,52.78947368421052,0,Loyal Customers
37,Kevin Mitchell,46.0,45-54,North,Electronics,315.25,6,34.910526315789475,0,Loyal Customers
38,Laura Perez,33.0,25-34,South,Clothing,170.5,3,18.268421052631577,0,Loyal Customers
39,Mike Roberts,27.0,25-34,East,Electronics,290.0,6,33.31578947368421,0,Loyal Customers
40,Nancy Turner,55.0,45-54,West,Electronics,880.75,15,93.12631578947368,1,Champions
41,Oscar Phillips,30.0,25-34,North,Clothing,200.0,4,22.631578947368418,0,Loyal Customers
42,Pam Campbell,38.0,35-44,South,Groceries,135.25,2,13.542105263157895,0,Loyal Customers
43,Quincy Parker,24.0,<25,East,Beauty,460.5,10,54.08421052631578,0,Loyal Customers
44,Rachel Evans,43.0,35-44,West,Clothing,155.0,3,17.289473684210527,0,Loyal Customers
45,Steve Edwards,35.0,25-34,North,Electronics,330.75,7,38.38947368421053,0,Loyal Customers
46,Tina Collins,28.0,25-34,South,Beauty,245.0,5,27.97368421052632,0,Loyal Customers
47,Ursula Stewart,32.0,25-34,East,Groceries,180.25,3,18.88421052631579,0,Loyal Customers
48,Vaughn Sanchez,50.0,45-54,West,Electronics,710.0,12,74.8421052631579,1,Champions
49,Wendy Morris,26.0,25-34,North,Beauty,395.5,8,44.97894736842105,0,Loyal Customers
50,Xavier Rogers,41.0,35-44,South,Groceries,125.75,2,12.942105263157893,0,Loyal Customers
51,Yvonne Reed,29.0,25-34,East,Clothing,265.0,5,29.236842105263154,0,Loyal Customers
52,Zachary Cook,36.0,35-44,West,Electronics,220.25,4,23.910526315789475,0,Loyal Customers
53,Amy Bell,23.0,<25,North,Beauty,480.75,11,57.86315789473684,0,Loyal Customers
54,Brian Murphy,47.0,45-54,South,Groceries,145.5,2,14.189473684210526,0,Loyal Customers
55,Cindy Bailey,31.0,25-34,East,Electronics,285.0,6,33.0,0,Loyal Customers
56,Derek Rivera,54.0,45-54,West,Electronics,940.25,16,99.38421052631578,1,Champions
57,Elaine Cooper,27.0,25-34,North,Clothing,360.5,7,40.268421052631574,0,Loyal Customers
58,Floyd Richardson,40.0,35-44,South,Groceries,190.75,4,22.04736842105263,0,Loyal Customers
59,Gina Cox,25.0,<25,East,Beauty,415.0,9,48.71052631578947,0,Loyal Customers
60,Harold Howard,44.0,35-44,West,Clothing,160.25,3,17.621052631578948,0,Loyal Customers
61,Isabel Ward,33.0,25-34,North,Electronics,300.5,6,33.97894736842105,0,Loyal Customers
62,Jason Torres,28.0,25-34,South,Groceries,175.75,3,18.6,0,Loyal Customers
63,Katherine Peterson,38.0,35-44,East,Clothing,240.0,5,27.657894736842103,0,Loyal Customers
64,Liam Gray,52.0,45-54,West,Electronics,790.5,13,82.42631578947368,1,Champions
65,Monica Ramirez,24.0,<25,North,Beauty,430.25,9,49.67368421052632,0,Loyal Customers
66,Nathan James,46.0,45-54,South,Groceries,150.0,2,14.473684210526317,0,Loyal Customers
67,Ophelia Watson,30.0,25-34,East,Electronics,270.75,5,29.599999999999998,0,Loyal Customers
68,Paul Brooks,37.0,35-44,West,Clothing,205.5,4,22.97894736842105,0,Loyal Customers
69,Queenie Kelly,22.0,<25,North,Beauty,500.0,11,59.078947368421055,0,Loyal Customers
70,Robert Sanders,48.0,45-54,South,Groceries,135.25,2,13.542105263157895,0,Loyal Customers
71,Samantha Price,29.0,25-34,East,Electronics,295.75,6,33.67894736842105,0,Loyal Customers
72,Thomas Bennett,35.0,25-34,West,Clothing,225.0,4,24.210526315789473,0,Loyal Customers
73,Ursula Wood,27.0,25-34,North,Beauty,345.5,7,39.321052631578944,0,Loyal Customers
74,Victor Barnes,43.0,35-44,South,Groceries,170.25,3,18.25263157894737,0,Loyal Customers
75,Wanda Ross,31.0,25-34,East,Electronics,310.0,6,34.578947368421055,0,Loyal Customers
76,Xavier Henderson,55.0,45-54,West,Electronics,860.75,14,89.36315789473683,1,Champions
77,Yolanda Coleman,26.0,25-34,North,Beauty,385.25,8,44.33157894736842,0,Loyal Customers
78,Zachary Jenkins,40.0,35-44,South,Clothing,155.5,3,17.321052631578947,0,Loyal Customers
79,Alice Perry,34.0,25-34,East,Electronics,280.75,5,30.23157894736842,0,Loyal Customers
80,Benjamin Powell,49.0,45-54,West,Electronics,720.0,12,75.47368421052632,1,Champions
81,Chloe Long,23.0,<25,North,Beauty,455.25,10,53.752631578947366,0,Loyal Customers
82,Daniel Patterson,36.0,35-44,South,Groceries,195.0,4,22.315789473684212,0,Loyal Customers
83,Emma Hughes,28.0,25-34,East,Clothing,265.5,5,29.268421052631577,0,Loyal Customers
84,Fred Flores,44.0,35-44,West,Groceries,180.75,3,18.91578947368421,0,Loyal Customers
85,Gloria Washington,32.0,25-34,North,Electronics,330.0,7,38.3421052631579,0,Loyal Customers
86,Harry Butler,51.0,45-54,South,Electronics,810.25,13,83.67368421052632,1,Champions
87,Iris Simmons,25.0,<25,East,Beauty,400.5,8,45.294736842105266,0,Loyal Customers
88,Jake Foster,39.0,35-44,West,Clothing,215.75,4,23.626315789473683,0,Loyal Customers
89,Kara Gonzales,27.0,25-34,North,Electronics,360.0,7,40.23684210526316,0,Loyal Customers
90,Lance Bryant,46.0,45-54,South,Groceries,140.25,2,13.857894736842105,0,Loyal Customers
91,Mandy Alexander,30.0,25-34,East,Beauty,285.5,6,33.03157894736842,0,Loyal Customers
92,Ned Russell,37.0,35-44,West,Clothing,200.75,4,22.678947368421053,0,Loyal Customers
93,Olga Griffin,24.0,<25,North,Beauty,470.25,10,54.699999999999996,0,Loyal Customers
94,Phil Diaz,43.0,35-44,South,Groceries,165.5,3,17.95263157894737,0,Loyal Customers
95,Rebecca Hayes,29.0,25-34,East,Electronics,310.75,6,34.62631578947368,0,Loyal Customers
96,Scott Myers,52.0,45-54,West,Electronics,880.0,15,93.07894736842105,1,Champions
97,Tara Ford,26.0,25-34,North,Beauty,375.25,8,43.7,0,Loyal Customers
98,Ulysses Hamilton,41.0,35-44,South,Clothing,150.75,3,17.021052631578947,0,Loyal Customers
99,Violet Graham,33.0,25-34,East,Electronics,255.0,5,28.605263157894733,0,Loyal Customers
100,Walter Sullivan,48.0,45-54,West,Electronics,700.25,11,71.72631578947369,1,Champions
101,Xena Wallace,22.0,<25,North,Beauty,445.5,10,53.13684210526315,0,Loyal Customers
102,Yale West,35.0,25-34,South,Groceries,185.75,3,19.231578947368423,0,Loyal Customers
103,Zara Cole,28.0,25-34,East,Clothing,295.0,6,33.631578947368425,0,Loyal Customers
104,Unknown,31.0,25-34,West,Electronics,210.5,4,23.294736842105262,0,Loyal Customers
105,Angela Foster,38.0,35-44,North,Groceries,170.25,3,18.25263157894737,0,Loyal Customers
106,Brandon Simmons,26.0,25-34,South,Electronics,340.75,7,39.02105263157895,0,Loyal Customers
107,Candace Alexander,44.0,35-44,East,Groceries,155.5,2,14.821052631578945,0,Loyal Customers
108,Dennis Roberts,50.0,45-54,West,Electronics,760.0,12,78.0,1,Champions
109,Eleanor Turner,25.0,<25,North,Beauty,420.25,9,49.0421052631579,0,Loyal Customers
110,Floyd Parker,40.0,35-44,South,Clothing,175.75,3,18.6,0,Loyal Customers
111,Geraldine Evans,32.0,25-34,East,Electronics,270.5,5,29.58421052631579,0,Loyal Customers
112,Harold Edwards,47.0,45-54,West,Groceries,145.25,2,14.173684210526316,0,Loyal Customers
113,Ingrid Collins,29.0,25-34,North,Clothing,305.75,6,34.310526315789474,0,Loyal Customers
114,Julian Morris,36.0,35-44,South,Electronics,230.0,4,24.526315789473685,0,Loyal Customers
115,Kendra Rogers,23.0,<25,East,Beauty,490.5,11,58.47894736842105,0,Loyal Customers
116,Lawrence Reed,53.0,45-54,West,Electronics,900.25,15,94.3578947368421,1,Champions
117,Monica Bell,27.0,25-34,North,Beauty,365.75,7,40.6,0,Loyal Customers
118,Norman Murphy,42.0,35-44,South,Groceries,160.5,3,17.636842105263156,0,Loyal Customers
119,Octavia Bailey,30.0,25-34,East,Electronics,310.0,6,34.578947368421055,0,Loyal Customers
120,Percy Rivera,45.0,35-44,West,Clothing,195.25,4,22.33157894736842,0,Loyal Customers
121,Quentin Cooper,28.0,25-34,North,Electronics,285.75,5,30.547368421052635,0,Loyal Customers
